arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
6.640e-01      8.080e-02    -2.889e-01    7.040e-01
6.660e-01      8.510e-02    -2.877e-01    7.060e-01
6.680e-01      8.940e-02    -2.864e-01    7.080e-01
6.700e-01      9.370e-02    -2.850e-01    7.100e-01
6.720e-01      9.800e-02    -2.836e-01    7.120e-01
6.740e-01      1.022e-01    -2.821e-01    7.140e-01
6.760e-01      1.064e-01    -2.805e-01    7.160e-01
6.780e-01      1.106e-01    -2.789e-01    7.180e-01
6.800e-01      1.148e-01    -2.772e-01    7.200e-01
6.820e-01      1.190e-01    -2.754e-01    7.220e-01
6.840e-01      1.231e-01    -2.736e-01    7.240e-01
6.860e-01      1.272e-01    -2.717e-01    7.260e-01
6.880e-01      1.312e-01    -2.698e-01    7.280e-01
6.900e-01      1.353e-01    -2.678e-01    7.300e-01
6.920e-01      1.393e-01    -2.657e-01    7.320e-01
6.940e-01      1.433e-01    -2.636e-01    7.340e-01
6.960e-01      1.472e-01    -2.614e-01    7.360e-01
6.980e-01      1.511e-01    -2.592e-01    7.380e-01
7.000e-01      1.550e-01    -2.569e-01    7.400e-01
7.020e-01      1.588e-01    -2.545e-01    7.420e-01
7.040e-01      1.626e-01    -2.521e-01    7.440e-01
7.060e-01      1.664e-01    -2.496e-01    7.460e-01
7.080e-01      1.701e-01    -2.471e-01    7.480e-01
7.100e-01      1.738e-01    -2.445e-01    7.500e-01
7.120e-01      1.775e-01    -2.419e-01    7.520e-01
7.140e-01      1.811e-01    -2.392e-01    7.540e-01
7.160e-01      1.846e-01    -2.364e-01    7.560e-01
7.180e-01      1.882e-01    -2.336e-01    7.580e-01
7.200e-01      1.917e-01    -2.308e-01    7.600e-01
7.220e-01      1.951e-01    -2.279e-01    7.620e-01
7.240e-01      1.985e-01    -2.249e-01    7.640e-01
7.260e-01      2.019e-01    -2.219e-01    7.660e-01
7.280e-01      2.052e-01    -2.189e-01    7.680e-01
7.300e-01      2.084e-01    -2.158e-01    7.700e-01
7.320e-01      2.116e-01    -2.126e-01    7.720e-01
7.340e-01      2.148e-01    -2.094e-01    7.740e-01
7.360e-01      2.179e-01    -2.062e-01    7.760e-01
7.380e-01      2.210e-01    -2.029e-01    7.780e-01
7.400e-01      2.240e-01    -1.995e-01    7.800e-01
7.420e-01      2.270e-01    -1.961e-01    7.820e-01
7.440e-01      2.299e-01    -1.927e-01    7.840e-01
7.460e-01      2.328e-01    -1.892e-01    7.860e-01
7.480e-01      2.356e-01    -1.857e-01    7.880e-01
7.500e-01      2.384e-01    -1.822e-01    7.900e-01
7.520e-01      2.411e-01    -1.786e-01    7.920e-01
7.540e-01      2.437e-01    -1.749e-01    7.940e-01
7.560e-01      2.463e-01    -1.712e-01    7.960e-01
7.580e-01      2.489e-01    -1.675e-01    7.980e-01
7.600e-01      2.514e-01    -1.638e-01    8.000e-01
7.620e-01      2.538e-01    -1.600e-01    8.020e-01
7.640e-01      2.562e-01    -1.562e-01    8.040e-01
7.660e-01      2.585e-01    -1.523e-01    8.060e-01
7.680e-01      2.607e-01    -1.484e-01    8.080e-01
7.700e-01      2.629e-01    -1.445e-01    8.100e-01
